benchmark,tamanho,conjunto,instancia,PT_MOSP,BKS
Carvalho_Soma,150x150,2,1,24,23
Carvalho_Soma,150x150,2,2,30,30
Carvalho_Soma,150x150,2,3,26,25
Carvalho_Soma,150x150,2,4,29,28
Carvalho_Soma,150x150,2,5,29,29
Carvalho_Soma,150x150,2,6,27,26
Carvalho_Soma,150x150,2,7,25,24
Carvalho_Soma,150x150,2,8,23,22
Carvalho_Soma,150x150,2,9,27,26
Carvalho_Soma,150x150,2,10,27,26
Carvalho_Soma,150x150,4,1,56,56
Carvalho_Soma,150x150,4,2,60,59
Carvalho_Soma,150x150,4,3,64,64
Carvalho_Soma,150x150,4,4,68,68
Carvalho_Soma,150x150,4,5,63,63
Carvalho_Soma,150x150,4,6,65,65
Carvalho_Soma,150x150,4,7,54,54
Carvalho_Soma,150x150,4,8,59,58
Carvalho_Soma,150x150,4,9,66,66
Carvalho_Soma,150x150,4,10,63,63
Carvalho_Soma,150x150,6,1,91,91
Carvalho_Soma,150x150,6,2,95,95
Carvalho_Soma,150x150,6,3,94,93
Carvalho_Soma,150x150,6,4,91,91
Carvalho_Soma,150x150,6,5,92,91
Carvalho_Soma,150x150,6,6,96,95
Carvalho_Soma,150x150,6,7,93,93
Carvalho_Soma,150x150,6,8,101,100
Carvalho_Soma,150x150,6,9,90,89
Carvalho_Soma,150x150,6,10,94,94
Carvalho_Soma,150x150,8,1,109,109
Carvalho_Soma,150x150,8,2,115,114
Carvalho_Soma,150x150,8,3,110,110
Carvalho_Soma,150x150,8,4,112,112
Carvalho_Soma,150x150,8,5,113,113
Carvalho_Soma,150x150,8,6,113,113
Carvalho_Soma,150x150,8,7,111,111
Carvalho_Soma,150x150,8,8,110,110
Carvalho_Soma,150x150,8,9,112,112
Carvalho_Soma,150x150,8,10,114,113
Carvalho_Soma,150x150,10,1,127,127
Carvalho_Soma,150x150,10,2,124,124
Carvalho_Soma,150x150,10,3,124,124
Carvalho_Soma,150x150,10,4,123,123
Carvalho_Soma,150x150,10,5,125,125
Carvalho_Soma,150x150,10,6,124,124
Carvalho_Soma,150x150,10,7,124,124
Carvalho_Soma,150x150,10,8,122,122
Carvalho_Soma,150x150,10,9,123,123
Carvalho_Soma,150x150,10,10,123,123
Carvalho_Soma,175x175,2,1,28,27
Carvalho_Soma,175x175,2,2,28,26
Carvalho_Soma,175x175,2,3,31,30
Carvalho_Soma,175x175,2,4,33,32
Carvalho_Soma,175x175,2,5,31,31
Carvalho_Soma,175x175,2,6,33,32
Carvalho_Soma,175x175,2,7,29,28
Carvalho_Soma,175x175,2,8,35,34
Carvalho_Soma,175x175,2,9,33,32
Carvalho_Soma,175x175,2,10,31,31
Carvalho_Soma,175x175,4,1,77,76
