tamanho,conjunto,S*,Sol.
400x400,2,70.40,95.3
400x400,4,162.70,187.5
400x400,6,241.00,266.1
400x400,8,292.20,317.4
400x400,10,323.00,347.2
400x400,14,356.50,388.8
400x400,18,372.70,399.1
400x400,20,377.80,399.8
400x400,24,384.60,400
400x400,28,389.00,400
400x400,30,390.50,400
400x400,34,393.10,400
600x600,2,105.40,163.8
600x600,4,242.10,303.4
600x600,6,360.60,417.6
600x600,8,437.10,490.7
600x600,10,484.10,535.2
600x600,14,532.60,586.8
600x600,18,557.30,599.4
600x600,20,565.50,599.9
600x600,24,575.60,600
600x600,28,582.70,600
600x600,30,584.60,600
600x600,34,588.40,600
600x600,38,590.90,600
600x600,40,592.00,600
800x800,2,136.10,256.9
800x800,4,321.30,441.8
800x800,6,478.80,593.7
800x800,8,580.70,682.2
800x800,10,646.20,738.2
800x800,14,711.30,790.9
800x800,18,743.50,799.3
800x800,20,753.80,799.8
800x800,24,767.60,800
800x800,28,776.50,800
800x800,30,779.70,800
800x800,34,784.40,800
800x800,38,787.40,800
800x800,40,788.80,800
800x800,44,790.80,800
800x800,48,792.50,800
800x800,50,793.00,800
1000x1000,2,171.00,392.3
1000x1000,4,398.40,625.6
1000x1000,6,603.40,795.3
1000x1000,8,726.60,898.3
1000x1000,10,807.00,953.7
1000x1000,14,889.90,992.8
1000x1000,18,930.40,999.6
1000x1000,20,942.60,999.7
1000x1000,24,960.10,1000
1000x1000,28,970.50,1000
1000x1000,30,974.30,1000
1000x1000,34,980.40,1000
1000x1000,38,984.30,1000
1000x1000,40,985.90,1000
1000x1000,44,988.60,1000
1000x1000,48,990.60,1000
1000x1000,50,991.30,1000
1000x1000,54,992.80,1000
